Country,Confirmed,PredictedConfirmed,Ratio
Afghanistan,55231,62369.66,1.129250964132462
Albania,81993,117817.11,1.436916688009952
Algeria,108381,123507.35,1.1395664369216008
Andorra,10137,13833.06,1.3646108316069843
Angola,19996,24556.45,1.2280681136227245
Argentina,1961635,2561327.52,1.3057105526767212
Armenia,167568,183481.09,1.0949649694452401
Australia,28842,29641.4,1.0277165245128632
Austria,419801,527025.98,1.255418591189635
Azerbaijan,230769,255344.09,1.1064921631588298
Bahrain,105496,124433.14,1.1795057632516872
Bangladesh,537030,580515.85,1.0809747127720983
Belarus,253413,357975.79,1.4126180977297929
Belgium,718847,837384.75,1.1648998326486721
Belize,12008,14474.0,1.205363091272485
Bolivia,224234,332346.13,1.4821397736293336
Bosnia and Herzegovina,122828,143547.2,1.1686846647344256
Botswana,23503,36060.71,1.534302429477088
Brazil,9396293,12376911.92,1.3172122154981758
Bulgaria,222149,255872.87,1.1518074355500136
Burkina Faso,11053,18842.91,1.7047778883561024
Burma,141104,172323.64,1.2212526930490986
Cabo Verde,14290,18482.18,1.2933645906228133
Cameroon,30313,36445.34,1.202300663081846
Canada,798394,1211253.08,1.51711195224413
Chile,740237,965145.71,1.3038333803903344
China,100268,108324.59,1.0803505604978656
Colombia,2135412,3026965.06,1.4175086868482523
Congo (Kinshasa),23222,33608.42,1.4472663853242613
Costa Rica,195992,248267.66,1.2667234376913343
Cote d'Ivoire,29102,39977.73,1.3737107415297918
Croatia,234153,279530.38,1.1937937160745324
Cuba,30345,53928.17,1.7771682319986817
Cyprus,31379,51877.08,1.653241977118455
Czechia,1013352,1554152.54,1.5336749125674
Denmark,201020,277548.86,1.3807027161476468
Dominican Republic,218948,301341.88,1.3763171163929335
Ecuador,253339,323964.39,1.2787781983824047
Egypt,168057,226437.75,1.3473866009746693
El Salvador,55821,73090.75,1.309377295283137
Estonia,46334,78280.32,1.689479000302154
Eswatini,16045,28837.48,1.797287628544718
Ethiopia,140157,164921.9,1.176693993164808
Finland,46493,63493.49,1.3656569806207386
France,3310071,4400000.54,1.3292767859058008
Gabon,11129,13195.3,1.1856680744002155
Georgia,260480,322891.69,1.2396026182432434
Germany,2265536,3238752.14,1.4295743435549026
Ghana,69255,84863.52,1.225377517868746
Greece,160935,195616.73,1.2155014757510796
Guatemala,161665,203653.21,1.2597235641604552
Guinea,14629,16083.36,1.0994162280401942
Haiti,11692,14517.08,1.2416250427642832
Honduras,152225,201289.48,1.322315519789785
Hungary,371988,461084.79,1.2395152262976223
India,10802591,11734496.37,1.08626683820576
Indonesia,1123105,1751348.13,1.5593805832936367
Iran,1445326,1817723.12,1.257656141244259
Iraq,624222,671050.71,1.0750193200495977
Ireland,200744,412475.93,2.0547360319611045
Israel,675618,1108627.65,1.6409089899913856
Italy,2597446,3468141.94,1.3352123355018737
Jamaica,16250,21367.9,1.3149476923076924
Japan,399492,713712.45,1.7865500435553152
Jordan,331768,395167.33,1.1910953738757204
Kazakhstan,240983,305820.58,1.2690545806135702
Kenya,101339,109742.2,1.0829216787219136
"Korea, South",80131,114981.58,1.4349200683880146
Kosovo,61404,77421.95,1.260861670249495
Kuwait,168250,195310.71,1.1608363150074295
Kyrgyzstan,84920,92113.25,1.0847061940650025
Latvia,69400,120626.58,1.7381351585014408
Lebanon,312269,551982.46,1.7676505192638396
Libya,122013,156664.98,1.2840023604042192
Lithuania,184948,272184.49,1.4716811752492591
Luxembourg,51330,59606.0,1.1612312487823884
Madagascar,19065,21336.77,1.1191591922370836
Malawi,25884,52758.41,2.038263405965075
Malaysia,231483,407468.21,1.7602511199526532
Maldives,16410,19838.53,1.2089293113954904
Malta,18385,28257.8,1.537002991569214
Mauritania,16740,21841.05,1.3047222222222221
Mexico,1886245,2744144.48,1.4548186900429159
Moldova,162624,192050.15,1.1809459243408107
Montenegro,63633,89249.61,1.402568007166093
Morocco,473667,538534.38,1.1369472224157477
Mozambique,42488,73789.17,1.736706128789305
Namibia,34519,56225.25,1.6288203598018482
Nepal,271602,293391.14,1.0802245197016223
Netherlands,1007268,1378118.24,1.368174348832684
Nigeria,136030,219873.77,1.616362346541204
North Macedonia,93882,112224.18,1.1953748322362114
Norway,64212,92730.06,1.444123528312465
Oman,135041,145121.8,1.0746499211350626
Pakistan,551842,678576.36,1.229656967030418
Panama,324489,486784.73,1.5001578790036025
Paraguay,136023,185635.57,1.3647366254236417
Peru,1158337,1374109.94,1.186278207464667
Philippines,531699,629253.8,1.183477493845202
Poland,1533511,1969226.76,1.2841295302087823
Portugal,748858,1299831.35,1.7357514375222005
Qatar,152898,166907.14,1.0916240892621225
Romania,738152,929457.02,1.2591675156336364
Russia,3874830,5221436.8,1.3475266785897704
Rwanda,15988,27957.94,1.7486827620715535
Saudi Arabia,369248,379087.07,1.0266462377589045
Senegal,27733,41509.28,1.49674683589947
Serbia,402700,516952.66,1.2837165631984107
Singapore,59624,61393.51,1.0296778143029652
Slovakia,256903,397611.22,1.5477095246065635
Slovenia,171340,261334.14,1.5252371892144276
South Africa,1466767,2331109.25,1.589283948984399
Spain,2913425,4497117.11,1.5435843071299244
Sri Lanka,67115,105785.07,1.5761762646204278
Sudan,29577,37748.92,1.2762930655576967
Sweden,584674,868623.95,1.4856551685212613
Switzerland,530289,685154.19,1.2920392276664232
Syria,14267,19484.95,1.3657356136538867
Tajikistan,13308,13373.41,1.0049150886684701
Thailand,22058,39547.41,1.7928828542932271
Tunisia,213949,355492.18,1.661574393897611
Turkey,2508988,3054878.08,1.2175738106360015
US,26676957,38921900.05,1.459008238833237
Uganda,39735,49043.07,1.2342536806342015
Ukraine,1275334,1623264.62,1.2728152938759574
United Arab Emirates,316875,493510.96,1.5574310374753453
United Kingdom,3903706,6739819.76,1.7265182777596468
Uruguay,43804,88466.67,2.0196025477125374
Uzbekistan,78916,82149.69,1.0409763546048965
Venezuela,128775,154303.58,1.1982417394680644
West Bank and Gaza,161087,203413.56,1.2627559020901749
Zambia,59003,117859.59,1.9975186007491144
Zimbabwe,34171,73272.17,2.144279359690966
